,Year,Flows In [Mt],Flows Out [Mt],Stock [Mt]
0,1950,2.634581896417638,0.0,2.634581896417638
1,1951,0.18530176307922325,0.0023698742112300024,2.8175137852856316
2,1952,0.13187869421455478,0.005214311571226446,2.94417816792896
3,1953,0.2057314139386938,0.010540559217371152,3.1393690226502824
4,1954,0.21360220066508834,0.019945514222336817,3.333025709093034
5,1955,0.3043796481191148,0.03528660742401566,3.6021187497881333
6,1956,0.2589168118182425,0.05854977216351346,3.802485789442862
7,1957,0.2726456134352972,0.09105939022808451,3.984072012650075
8,1958,0.2956654247298506,0.13297378207548247,4.146763655304444
9,1959,0.4317996830679941,0.18255155066620518,4.396011787706232
10,1960,0.519549836457306,0.23606210190498947,4.679499522258549
11,1961,0.5520415254226628,0.28812836842449935,4.943412679256712
12,1962,0.6413371200343222,0.3329599185006267,5.251789880790408
13,1963,0.7156409520864269,0.36599665115538244,5.601434181721452
14,1964,0.770386736998382,0.3852016685706647,5.98661925014917
15,1965,0.770780469147057,0.39174311531163136,6.365656603984595
16,1966,0.7595068830690109,0.38963016734723105,6.735533319706375
17,1967,0.7926606045292609,0.3845685692200672,7.143625355015569
18,1968,0.7865816486465994,0.38243284725893834,7.5477741564032295
19,1969,0.8476801021979975,0.38781050005751366,8.007643758543713
20,1970,0.7875212504968809,0.403308011887074,8.391856997153521
21,1971,0.947260069487552,0.4292243087562486,8.909892757884823
22,1972,1.0501187867993098,0.4642648929301239,9.49574665175401
23,1973,1.1282421098473887,0.5058973726388981,10.118091388962501
24,1974,1.0914912710409925,0.5511983343445532,10.65838432565894
25,1975,1.0971063741143017,0.597377274861841,11.1581134249114
26,1976,1.2974117448458118,0.6423544488482806,11.813170720908932
27,1977,1.204911344366252,0.6850849823637796,12.332997082911403
28,1978,1.2967062468960162,0.7251924210010932,12.904510908806328
29,1979,1.2870350392673091,0.763353866688265,13.428192081385372
30,1980,1.5816455393084756,0.8006273475251486,14.209210273168697
31,1981,1.3305130679647614,0.8385251559051015,14.701198185228357
32,1982,1.367083315258787,0.8778693596749912,15.190412140812153
33,1983,1.4650543524661863,0.9194272939285019,15.736039199349838
34,1984,1.4197469366014714,0.9633446410658884,16.192441494885422
35,1985,1.734664536825466,1.0091260503676518,16.917979981343237
36,1986,1.637838657806472,1.05627333477294,17.49954530437677
37,1987,1.6594259606939739,1.1037484780800286,18.055222786990715
38,1988,1.8791492952308362,1.1508129959551991,18.78355908626635
39,1989,1.8881332197870304,1.1970450685861767,19.474647237467202
40,1990,1.9302430411706346,1.2420993210487454,20.16279095758909
41,1991,1.776423628080065,1.2860627232971207,20.653151862372038
42,1992,2.0185545724871177,1.3291647900431276,21.342541644816023
43,1993,2.097680128737516,1.3722608418371267,22.067960931716417
44,1994,2.1133248501851787,1.416122220821329,22.765163561080268
45,1995,2.278005949295689,1.4615400500550433,23.58162946032091
46,1996,2.314876277432774,1.5092569178183013,24.387248819935387
47,1997,2.346345411897932,1.5595376448217917,25.174056587011524
48,1998,2.537539899456073,1.6123011341285793,26.099295352339016
49,1999,2.605904266748525,1.6672938408594773,27.037905778228065
50,2000,2.6900922475855613,1.7240257912888526,28.003972234524774
51,2001,3.0342124787257494,1.7821987833002317,29.255985929950295
52,2002,2.7122468669173863,1.8420418933257863,30.126190903541893
53,2003,2.9101294399710866,1.9035559347066708,31.13276440880631
54,2004,3.163664635931481,1.9676083806442914,32.3288206640935
55,2005,3.256789737267145,2.0350131536602216,33.55059724770042
56,2006,2.846577044819305,2.106358460249303,34.290815832270425
57,2007,3.44784942394154,2.1815883762119648,35.55707688
58,2008,3.572566627186484,2.2611755829117937,36.86846792427469
59,2009,3.073132058457647,2.344531530920661,37.59706845181167
60,2010,3.806330577401968,2.430420117329793,38.97297891188385
61,2011,3.9429577158794533,2.5185179790311625,40.39741864873215
62,2012,4.078272831953818,2.6076267120977636,41.8680647685882
63,2013,4.212977958353623,2.6969724157873363,43.38407031115448
64,2014,4.346088552257478,2.7861718286746973,44.94398703473726
65,2015,4.475144853910941,2.875390167635637,46.543741721012566
66,2016,4.604478964009847,2.9654118026255043,48.18280888239691
67,2017,4.733057018793199,3.0575955148365974,49.85827038635352
68,2018,4.871160508821368,3.1536888309811153,51.57574206419376
69,2019,5.006106752717754,3.255535048591628,53.32631376831989
70,2020,5.151158184085146,3.3646905218956995,55.11278143050934
71,2021,5.304046819473794,3.4820830214725236,56.93474522851061
72,2022,5.461814723424351,3.6077617702062637,58.788798181728694
73,2023,5.630114731498796,3.740847960216504,60.67806495301099
74,2024,5.798238165691376,3.8797200618891496,62.59658305681321
75,2025,5.9702231958458265,4.02237044484496,64.54443580781408
76,2026,6.1469875624944335,4.166858523916138,66.52456484639237
77,2027,6.31747778022351,4.311704126898755,68.53033849971713
78,2028,6.490760929475571,4.456113268048877,70.56498616114384
79,2029,6.660446346642834,4.600020987956486,72.62541151983017
80,2030,6.833457324368298,4.7439414893255005,74.71492735487296
81,2031,7.0005933301337,4.8887344358765334,76.82678624913012
82,2032,7.1724984793977615,5.035338037485642,78.96394669104225
83,2033,7.340024471359153,5.184569832851051,81.11940132955036
84,2034,7.517059435236002,5.336983007774011,83.29947775701234
85,2035,7.690339982411657,5.492827465033299,85.4969902743907
86,2036,7.866548719711596,5.652047826248504,87.7114911678538
87,2037,8.048781425747304,5.814350480142151,89.94592211345895
88,2038,8.226034837702768,5.979286201326823,92.19267074983489
89,2039,8.40452944006243,6.146330697226254,94.45086949267105
90,2040,8.587319430035606,6.3149753614499895,96.72321356125669
91,2041,8.76355707147807,6.484792221349633,99.00197841138514
92,2042,8.947085974584446,6.65546461490951,101.29359977106006
93,2043,9.119743773636085,6.8268144662672645,103.58652907842887
94,2044,9.295652634856815,6.9987714399363625,105.88341027334934
95,2045,9.471332603982319,7.17135822210751,108.18338465522413
96,2046,9.64696998174059,7.344641064661352,110.48571357230335
97,2047,9.815347786938656,7.518688430781793,112.78237292846023
98,2048,9.991123509742424,7.6935286512924135,115.07996778691025
99,2049,10.155881729269021,7.8691393797126015,117.36671013646666
100,2050,10.331763714403056,8.045418906789271,119.65305494408047
